Index,treatment,CBF,CIVM_ID,DOB,Species,Strain,Sex,Mark,Cage,Study,Treatment,mass,DWI,,,,
191205-1:0,1,255.3699188,191205-1:0,12/23/18,Mouse,CVN,F,LE1,1210359,20.abb.15,treadmill,24.1,N58214,305.6325378,255.3699188,309.0903625,
191205-10:0,2,284.2850647,191205-10:0,12/25/18,Mouse,CVN,F,NM,1210360,20.abb.15,runningwheel_only,28.9,N98223,303.8502502,254.0331268,303.6097412,
191205-2:0,1,254.0331268,191205-2:0,12/23/18,Mouse,CVN,F,RE4,1210359,20.abb.15,treadmill,25,N58215,239.4683228,302.3032227,290.2184753,
191205-3:0,1,302.3032227,191205-3:0,12/23/18,Mouse,CVN,F,LE3,1210359,20.abb.15,treadmill,24,N58216,191.8525085,271.2653503,284.2850647,
191205-4:0,1,271.2653503,191205-4:0,12/23/18,Mouse,CVN,F,LE2H,1210359,20.abb.15,treadmill,22.8,N58217,243.2772369,230.1593323,344.8197937,
191205-5:0,1,230.1593323,191205-5:0,12/23/18,Mouse,CVN,F,RE2H,1210359,20.abb.15,treadmill,24.7,N58218,218.0643311,340.8049622,261.5831299,
191205-6:0,2,309.0903625,191205-6:0,12/25/18,Mouse,CVN,F,LE1,1210360,20.abb.15,runningwheel_only,24.8,N98219,180.980896,315.6905212,296.9772644,
191205-8:0,2,303.6097412,191205-8:0,12/25/18,Mouse,CVN,F,RE6,1210360,20.abb.15,runningwheel_only,25.6,N98221,216.4601898,333.8048706,330.8630981,
191205-9:0,2,290.2184753,191205-9:0,12/25/18,Mouse,CVN,F,RE4,1210360,20.abb.15,runningwheel_only,25.8,N98222,351.8218384,292.5140381,,306.4411112
191212-1:0,1,340.8049622,191212-1:0,12/24/18,Mouse,CVN,F,LE1,1210361,20.abb.15,treadmill,20.6,N58224,,,,
191212-3:0,1,315.6905212,191212-3:0,12/24/18,Mouse,CVN,F,RE6,1210361,20.abb.15,treadmill,22.8,N58225,250.1564568,288.4383714,302.6808662,
191212-4:0,1,333.8048706,191212-4:0,12/24/18,Mouse,CVN,F,LE3,1210361,20.abb.15,treadmill,26.6,N58226,,,,
191212-5:0,1,292.5140381,191212-5:0,12/24/18,Mouse,CVN,F,NM,1210361,20.abb.15,treadmill,25.5,N58228,,,,
191212-6:0,2,344.8197937,191212-6:0,12/31/18,Mouse,CVN,F,LE1,1210373,20.abb.15,runningwheel_only,24.1,N98229,,,,
191212-7:0,2,261.5831299,191212-7:0,12/31/18,Mouse,CVN,F,LE3,1210373,20.abb.15,runningwheel_only,26,N58230,,,,
191212-8:0,2,296.9772644,191212-8:0,12/31/18,Mouse,CVN,F,LE1,1210372,20.abb.15,runningwheel_only,26.3,N58231,,,,
191212-9:0,2,330.8630981,191212-9:0,12/31/18,Mouse,CVN,F,RE4,1210372,20.abb.15,runningwheel_only,22.7,N58232,,,,
200805-1:0,0,305.6325378,200805-1:0,7/10/19,Mouse,CVN,F,no ear mark,1251018,20.abb.15,sedentary,25.78,N58633,,,,
200805-2:0,0,303.8502502,200805-2:0,7/10/19,Mouse,CVN,F,L ear mark; 1 tail mark black,1251018,20.abb.15,sedentary,26.42,N58634,,,,
200805-4:0,0,239.4683228,200805-4:0,7/10/19,Mouse,CVN,F,R ear mark; 2 tail marks,1251018,20.abb.15,sedentary,25.96,N58635,,,,
200805-5:0,0,191.8525085,200805-5:0,7/21/19,Mouse,CVN,F,NM,1278727,20.abb.15,sedentary,26.15,N58636,,,,
201007-1:0,0,243.2772369,201007-1:0,10/6/19,Mouse,CVN,F,LE1,1281475,20.abb.16,sedentary,23.6,N58650,,,,
201007-2:0,0,218.0643311,201007-2:0,10/6/19,Mouse,CVN,F,NM,1281475,20.abb.17,sedentary,23.32,N58649,,,,
201007-3:0,0,180.980896,201007-3:0,10/6/19,Mouse,CVN,F,LE1,1281480,20.abb.18,sedentary,24.92,N58651,,,,
201007-4:0,0,216.4601898,201007-4:0,10/6/19,Mouse,CVN,F,RE1,1281480,20.abb.19,sedentary,25.57,N58653,,,,
201007-5:0,0,351.8218384,201007-5:0,10/6/19,Mouse,CVN,F,RE1,1266628,20.abb.20,sedentary,25.97,N58654,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0-sedentary,,,,,,,,,,,,,,,,,
1-treadmill,,,,,,,,,,,,,,,,,
2-wheel,,,,,,,,,,,,,,,,,