Region,Pval
Fimbria,0.0139
Internal Capsule,0.0105
Stria Medularis,0.0109
Longitudinal Fasciculus of Pons,0.00581
Lateral Ventricle,0.0273
Posterior Dorsal Paraventricular Medial Parvicellular Posterior Lateral Hy,0.03
Basal Lateral Amygdala,0.0292
Midbrain Linear Nucleus,0.0383
Substania Nigra,0.0102
Reticular Nucleus of Thalamus,0.0422
Ventral Thalamic Nuclei,0.017
Globus Pallidus,0.0142
Periform Cortex,0.0126
Ecthorhinal Cortex,0.002266
Left Prrimary Somatosensory Cortex Shoulder,0.0483
Left Prrimary Somatosensory Cortex Forelimb,0.0437
Left Prrimary Somatosensory Cortex Dysgranular Zone,0.0341