Animal,Brunno,SAMBA Brunno,date,genotype,sex,DOB,T1MEMRIRARE,T1map,T1map.1,Proportional Hippocampal Volume,Proportional Lateral Ventricle Volume,Proportional Ectorhinal Cortex Volume,Proportional Cerebellum Volume,Proportional Lateral Olfactory Tract,Proportional Cingulate_Cortex_Area_24a Volume,Proportional Cingulate_Cortex_Area_24a_prime Volume,Proportional Cingulate_Cortex_Area_29a Volume,Proportional Cingulate_Cortex_Area_29c Volume,Proportional Frontal_Association_Cortex Volume,Proportional Lateral_Parietal_Association_Cortex Volume,Proportional Secondary_Motor_Cortex Volume,Proportional Medial_Orbital_Cortex Volume,Total Volume
190715-1:1,B50013,B51315,9/12/19,APOE33,0,4/26/18,5,37,38,0.001753842,0.000909943,0.000166945,0.000506339,2.57E-05,0.001465816,0.000588895,0.000339394,0.000968649,0.006908963,0.000159607,0.006215499,0.00136308,545.0890009
190715-2:1,B50013,B51325,9/12/19,APOE33,0,4/26/18,19,60,61,0.001787295,8.20E-05,0.011179653,0.000539813,1.72E-05,0.001566029,0.000593222,0.000362418,0.001163554,0.006178279,0.000156412,0.006107703,0.001394357,524.2560023
190715-3:1,B50017,B51732,9/12/19,APOE33,0,4/26/18,2,74,75,0.001681645,0.000917623,0.000199483,0.00047477,2.59E-05,0.001492135,0.000676249,0.000412931,0.001168972,0.006674712,0.000169561,0.00598849,0.00131659,501.2950023
190715-4:1,B50017,B51742,9/12/19,HN,1,3/21/18,12,87,85,0.002187424,0.000995642,0.010978213,0.000543587,3.36E-05,0.001348693,0.000560399,0.000323163,0.00094147,0.005745956,0.000156912,0.005301373,0.001296389,535.3330042
190715-5:1,B50018,B51852,9/12/19,APOE22,0,5/26/18,2,99,98,0.001677711,0.000835986,0.000185562,0.000550947,1.91E-05,0.001348673,0.000568164,0.000373037,0.001124851,0.006257461,0.000183649,0.006205809,0.001352499,522.7360018
190715-6:1,B50018,B51861,9/12/19,APOE22,0,5/26/18,16,114,113,0.001821723,8.53E-05,0.00578494,0.000554269,3.10E-05,0.001536837,0.000620161,0.000333337,0.001046522,0.006054322,0.000168606,0.005602767,0.001224818,515.9950027
190715-7:1,B50018,B51872,9/12/19,APOE22,1,5/26/18,23,21,6,0.001692611,0.000932935,0.010854416,0.000555953,2.67E-05,0.00150412,0.000567377,0.000348423,0.001022421,0.006943704,0.000158028,0.005658538,0.001616453,525.2240017
190715-8:1,B50018,B51882,9/12/19,APOE22,1,5/26/18,29,36,35,0.002259517,0.001068501,0.011203188,0.00053425,3.01E-05,0.001438057,0.000574419,0.000355497,0.00089979,0.006155929,0.000176744,0.006194089,0.001375795,497.8940017
190909-11:1,B50018,B51813,10/10/19,APOE3,1,4/26/18,31,32,,0.001769319,0.000964558,0.010827691,0.000537149,2.12E-05,0.001526735,0.000702722,0.000406231,0.001212917,0.006413058,0.000202153,0.006434236,0.001399668,519.4090039
190909_12:1,B50018,B51824,10/10/19,APOE3,1,4/26/18,42,49,,0.00179775,8.95E-05,0.010818871,0.000521804,0.003406964,0.001538752,0.000588458,0.000342791,0.001142637,0.006318784,0.000169491,0.006276888,0.001466385,525.1010023
190909_13:1,B50018,B51836,10/10/19,APOE3,0,4/26/18,60,59,,0.001679067,0.000108021,0.000538211,0.00051168,0.003236847,0.001624109,0.000602645,0.000388497,0.001044205,0.006130679,0.00017056,0.005916532,0.001375849,527.6740029
191028-3,B50022,B52233,12/4/19,APOE2,1,4/26/18,3,2,,0.00172363,0.000819559,0.010597276,0.000534581,2.55E-05,0.001499577,0.000760598,0.00039897,0.001401309,0.006766769,0.000167056,0.006306873,0.001519231,508.8100036
191028-4,B50022,B52242,12/4/19,APOE2,1,4/26/18,24,20,,0.001825102,0.00095206,0.010956396,0.000537702,2.31E-05,0.001387617,0.000582028,0.00032185,0.000847988,0.006001445,0.000156107,0.005720067,0.001304746,518.8750022
191028-5,B50022,B52253,12/4/19,APOE2,1,4/26/18,31,32,,0.001638616,8.53E-05,0.00582339,0.000558487,0.003137611,0.00136713,0.000601149,0.000349054,0.00095796,0.006868614,0.000182284,0.00615887,0.001136366,515.6790023
191028-6,B50022,B52264,12/4/19,APOE2,0,4/26/18,40,41,,0.001820304,0.000169239,0.000525428,0.00049591,0.002961683,0.001288972,0.000551011,0.000344382,0.001111861,0.00687386,0.000173175,0.006354335,0.001194513,508.1570012
191028-7,B50022,B52274,12/4/19,APOE2,0,4/26/18,44,45,,0.001667438,0.000148128,0.006109266,0.000454392,0.003150716,0.001555341,0.000628542,0.000334288,0.001068921,0.006213356,0.000178154,0.005881069,0.001401208,499.5690015
191205-1,B50027,B52711,12/11/19,CVN,1,12/23/18,15,22,21,0.002055745,9.84E-05,0.005976622,0.000496002,2.25E-05,0.001631479,0.00071121,0.000370977,0.001160071,0.006585352,0.000219307,0.006720626,0.001736008,487.9010034
191205-2,B50028,B52823,12/11/19,CVN,1,12/23/18,3,10,9,0.001913023,0.000979029,0.010031133,0.000436647,2.15E-05,0.001450921,0.000603082,0.000340702,0.001012316,0.00683754,0.000217344,0.0073623,0.001676098,510.7100029
191205-4,B50030,B53041,12/11/19,CVN,1,12/23/18,14,24,23,0.002000954,0.000969555,0.009998783,0.000444878,1.99E-05,0.001486252,0.000482782,0.000424928,0.000977535,0.006830773,0.000139648,0.005767454,0.001558071,501.2610022
191205-5,B50030,B53054,12/11/19,CVN,1,12/23/18,46,44,45,0.002009757,0.000131534,0.000462302,0.000444893,0.003054289,0.001551323,0.000597704,0.000437156,0.000860772,0.006630843,0.000152811,0.006429674,0.001402381,516.9780033
191205-6,B50031,B53161,12/11/19,CVN,1,12/25/18,11,10,9,0.00219991,8.67E-05,0.01043431,0.000466767,1.58E-05,0.001577554,0.000600692,0.000409652,0.001020191,0.006471714,0.000173314,0.005567723,0.001567707,507.7480021
191205-8,B50031,B53183,,CVN,1,12/25/18,33,32,31,0.002056993,0.000910777,0.010584425,0.000454356,0.003319754,0.001610898,0.000636098,0.000472943,0.001038823,0.006567507,0.000220982,0.005648469,0.001567528,484.2020015
191205-9,B50031,B53195,,CVN,1,12/25/18,50,46,45,0.00204645,7.06E-05,0.010423149,0.00047725,0.003319754,0.001544382,0.000626153,0.000351256,0.000811326,0.007072851,0.000146993,0.005589557,0.001700921,523.8340024
191205-10,B50031,B53106,,CVN,1,12/25/18,63,70,69,0.002033231,9.82E-05,0.010462791,0.00046558,0.003188342,0.001553899,0.000620774,0.000387001,0.000999917,0.006781366,0.000194483,0.006201846,0.001493001,509.0420015
191212-1,B50032,B53212,,CVN,1,12/24/18,21,11,29,0.00160716,0.000137123,0.005857965,0.000449682,0.00319617,0.001570862,0.000699729,0.000411368,0.00112118,0.007690974,0.000241981,0.006253201,0.001562796,495.9060018
191212-3,B50032,B53233,,CVN,1,12/24/18,34,48,49,0.0020277,0.000106314,0.010161694,0.000483246,0.003253211,0.00160051,0.000624354,0.000380798,0.001014816,0.006539283,0.000183633,0.006121759,0.001536722,517.3350031
191212-4,B50032,B53245,,CVN,1,12/24/18,58,62,63,0.002175725,0.000995443,0.010125788,0.000477504,1.73E-05,0.001590398,0.000673897,0.000383159,0.000929978,0.006351963,0.000177139,0.005959177,0.001407483,519.3670024
191212-5,B50032,B53257,,CVN,1,12/24/18,74,78,,0.001984584,9.44E-05,0.010662465,0.000470085,1.97E-05,0.00155187,0.000619568,0.000418946,0.000918534,0.006895887,0.000173086,0.0064022,0.001394519,508.4190016
191212-6,B50032,B53269,,CVN,1,12/31/18,90,93,94,0.001946412,8.93E-05,0.010647348,0.000472836,1.33E-05,0.00146788,0.000577277,0.000488027,0.000886804,0.00695961,0.000184197,0.005677826,0.00152105,526.6100026
191212-7,B50032,B53279,,CVN,1,12/31/18,99,106,105,0.00179911,0.00079102,0.000167402,0.000469093,1.47E-05,0.001501098,0.000607062,0.000467254,0.000952903,0.006644567,0.000169241,0.006173634,0.001648265,543.6020023
191212-8,B50032,B53281,,CVN,1,12/31/18,115,117,118,0.001927253,0.000117048,0.006264076,0.000425812,0.003194598,0.001370267,0.000478282,0.000399577,0.00074063,0.00750115,0.000193734,0.006256004,0.001465116,495.5240016
191212-9,B50032,B53291,,CVN,1,12/31/18,127,129,12?,0.001878639,8.27E-05,0.006294098,0.00047201,0.003204405,0.001600322,0.000661943,0.000453205,0.000932738,0.007334025,0.000191813,0.006286576,0.001609725,531.768001
191205-1,B50030,B52715,,,,,52,,,0.001761751,0.000858781,0.000170988,0.000407297,1.73E-05,0.00149086,0.000486066,0.000318921,0.000929866,0.007644499,0.000215176,0.00636113,0.001567708,520.5050028
191205-2,B50028,B52824,,,,,45,,,0.002000739,0.000985468,0.010327549,0.000466905,2.38E-05,0.001551715,0.000655654,0.000327827,0.000911956,0.007915536,0.000184775,0.006332031,0.001583505,503.3140016
191205-2,B50030,B52825,,,,,53,,,0.001927786,8.42E-05,0.006149004,0.000426908,1.72E-05,0.001514278,0.000610689,0.000380963,0.000976336,0.006813296,0.000199096,0.006397874,0.001732518,
191205-3,B50030,B52836,,,,,62,,,0.001834866,0.000983315,0.010320875,0.000414959,1.18E-05,0.001571338,0.000641121,0.000304828,0.001004948,0.008128083,0.000196663,0.005880224,0.001657869,508.4840026